,temp,hum,windspeed,atemp,cnt
3829,0.66,0.41,0.2985,0.6212,159
3830,0.66,0.41,0.2836,0.6212,196
3831,0.7,0.37,0.0,0.6364,227
3832,0.7,0.34,0.2537,0.6364,200
3833,0.7,0.37,0.4478,0.6364,185
3834,0.7,0.37,0.4179,0.6364,326
3835,0.7,0.39,0.3284,0.6364,601
3836,0.7,0.37,0.3582,0.6364,586
3837,0.66,0.39,0.2836,0.6212,423
3838,0.64,0.44,0.2537,0.6212,331
3839,0.64,0.41,0.2537,0.6212,218
3840,0.62,0.46,0.2239,0.6212,134
3841,0.62,0.46,0.194,0.6212,89
3842,0.6,0.49,0.194,0.6212,31
3843,0.6,0.49,0.2537,0.6212,13
3844,0.6,0.49,0.2836,0.6212,10
3845,0.58,0.53,0.3284,0.5455,2
3846,0.54,0.6,0.2537,0.5152,3
3847,0.54,0.56,0.3284,0.5152,26
3848,0.54,0.56,0.2985,0.5152,113
3849,0.56,0.52,0.4179,0.5303,365
3850,0.58,0.49,0.3881,0.5455,486
3851,0.62,0.46,0.194,0.6212,193
3852,0.62,0.46,0.2239,0.6212,130
3853,0.64,0.41,0.2836,0.6212,143
3854,0.64,0.41,0.3582,0.6212,169
3855,0.64,0.44,0.2239,0.6212,209
3856,0.64,0.47,0.194,0.6212,159
3857,0.64,0.47,0.1642,0.6212,178
3858,0.68,0.41,0.194,0.6364,330
3859,0.64,0.5,0.2836,0.6212,569
3860,0.62,0.51,0.3284,0.6212,538
3861,0.64,0.5,0.3582,0.6212,386
3862,0.6,0.56,0.1642,0.6212,297
3863,0.6,0.56,0.2985,0.6212,243
3864,0.58,0.6,0.2239,0.5455,188
3865,0.56,0.68,0.2239,0.5303,110
3866,0.56,0.64,0.3582,0.5303,52
3867,0.54,0.64,0.2836,0.5152,14
3868,0.52,0.63,0.2239,0.5,9
3869,0.5,0.68,0.2537,0.4848,1
3870,0.5,0.63,0.2836,0.4848,4
3871,0.48,0.67,0.2836,0.4697,21
3872,0.5,0.63,0.2537,0.4848,121
3873,0.54,0.6,0.1343,0.5152,370
3874,0.58,0.53,0.1343,0.5455,498
3875,0.6,0.49,0.0,0.6212,207
3876,0.64,0.47,0.1642,0.6212,135
3877,0.68,0.36,0.0,0.6364,164
3878,0.7,0.34,0.2239,0.6364,211
3879,0.74,0.28,0.2836,0.6515,189
3880,0.74,0.28,0.0,0.6515,178
3881,0.76,0.27,0.0,0.6667,164
3882,0.76,0.27,0.1343,0.6667,312
3883,0.74,0.28,0.1045,0.6515,638
3884,0.72,0.32,0.1343,0.6515,607
3885,0.7,0.37,0.2836,0.6364,416
3886,0.66,0.44,0.1642,0.6212,330
3887,0.64,0.47,0.2239,0.6212,257
3888,0.62,0.5,0.1045,0.6212,175
3889,0.62,0.53,0.0,0.6212,107
3890,0.6,0.56,0.1045,0.6212,47
3891,0.58,0.6,0.0,0.5455,17
3892,0.6,0.56,0.0896,0.6212,5
3893,0.56,0.73,0.0896,0.5303,4
3894,0.56,0.68,0.1045,0.5303,6
3895,0.6,0.64,0.194,0.6061,25
3896,0.58,0.73,0.1642,0.5455,112
3897,0.56,0.78,0.1642,0.5303,188
3898,0.6,0.69,0.1343,0.5909,388
3899,0.62,0.65,0.194,0.6061,261
3900,0.66,0.61,0.2537,0.6212,121
3901,0.68,0.61,0.2985,0.6364,150
3902,0.72,0.54,0.3881,0.6667,206
3903,0.72,0.54,0.2537,0.6667,151
3904,0.72,0.54,0.3284,0.6667,153
3905,0.7,0.61,0.2985,0.6515,159
3906,0.66,0.69,0.194,0.6212,294
3907,0.64,0.78,0.1045,0.5909,272
3908,0.64,0.83,0.2239,0.5758,325
3909,0.62,0.83,0.2836,0.5758,327
3910,0.62,0.83,0.3284,0.5758,201
3911,0.62,0.83,0.2537,0.5758,188
3912,0.62,0.83,0.2537,0.5758,151
3913,0.6,0.83,0.2537,0.5606,16
3914,0.56,0.88,0.0896,0.5303,24
3915,0.56,0.94,0.1343,0.5303,23
3916,0.56,0.94,0.1045,0.5303,13
3917,0.56,0.94,0.1045,0.5303,6
3918,0.54,0.94,0.1343,0.5152,6
3919,0.54,1.0,0.0,0.5152,13
3920,0.56,0.94,0.0,0.5303,97
3921,0.6,0.83,0.0,0.5606,250
3922,0.6,0.83,0.0,0.5606,454
3923,0.7,0.58,0.194,0.6515,224
3924,0.7,0.58,0.194,0.6515,170
3925,0.68,0.69,0.2537,0.6364,181
3926,0.7,0.65,0.2537,0.6515,243
3927,0.74,0.62,0.2836,0.6818,204
3928,0.76,0.52,0.194,0.697,215
3929,0.78,0.43,0.2239,0.697,243
3930,0.76,0.45,0.1642,0.6818,355
3931,0.76,0.4,0.194,0.6818,552
3932,0.76,0.4,0.194,0.6818,450
3933,0.64,0.83,0.2537,0.5758,328
3934,0.64,0.78,0.1045,0.5909,232
3935,0.64,0.78,0.0896,0.5909,208
3936,0.62,0.88,0.1343,0.5606,175
3937,0.62,0.83,0.1343,0.5758,178
3938,0.62,0.88,0.1343,0.5606,104
3939,0.62,0.83,0.1045,0.5758,95
3940,0.6,0.88,0.0,0.5455,53
3941,0.6,0.88,0.0896,0.5455,20
3942,0.6,0.88,0.0896,0.5455,5
3943,0.62,0.83,0.0,0.5758,7
3944,0.62,0.83,0.1045,0.5758,27
3945,0.64,0.78,0.1343,0.5909,57
3946,0.66,0.78,0.0896,0.6061,131
3947,0.7,0.61,0.2239,0.6515,218
3948,0.72,0.62,0.194,0.6818,244
3949,0.72,0.62,0.1343,0.6818,404
3950,0.74,0.66,0.0896,0.697,420
3951,0.76,0.55,0.0,0.697,327
3952,0.8,0.46,0.2836,0.7273,334
3953,0.82,0.46,0.1343,0.7576,367
3954,0.76,0.52,0.2239,0.697,468
3955,0.76,0.48,0.1642,0.6818,449
3956,0.74,0.55,0.194,0.6818,381
3957,0.74,0.51,0.1045,0.6667,326
3958,0.72,0.58,0.1343,0.6667,188
3959,0.72,0.66,0.1045,0.6818,183
3960,0.72,0.62,0.1343,0.6818,161
3961,0.72,0.62,0.0,0.6818,150
3962,0.7,0.65,0.0,0.6515,89
3963,0.7,0.65,0.0896,0.6515,76
3964,0.68,0.74,0.0896,0.6364,72
3965,0.66,0.78,0.1343,0.6061,30
3966,0.66,0.74,0.1343,0.6212,17
3967,0.66,0.78,0.0,0.6061,19
3968,0.66,0.78,0.1642,0.6061,33
3969,0.66,0.78,0.1642,0.6061,71
3970,0.68,0.74,0.1045,0.6364,84
3971,0.68,0.74,0.1045,0.6364,169
3972,0.7,0.61,0.1045,0.6515,244
3973,0.72,0.58,0.0896,0.6667,377
3974,0.74,0.55,0.0896,0.6818,396
3975,0.74,0.51,0.0,0.6667,363
3976,0.74,0.58,0.1045,0.6818,317
3977,0.74,0.55,0.1045,0.6818,362
3978,0.76,0.48,0.0,0.6818,378
3979,0.74,0.51,0.0,0.6667,397
3980,0.74,0.58,0.0896,0.6818,296
3981,0.72,0.62,0.1343,0.6818,311
3982,0.7,0.7,0.194,0.6515,232
3983,0.68,0.79,0.1343,0.6364,167
3984,0.66,0.78,0.2239,0.6061,152
3985,0.66,0.78,0.194,0.6061,92
3986,0.66,0.83,0.1642,0.6061,26
3987,0.64,0.89,0.0896,0.5758,12
3988,0.64,0.89,0.0896,0.5758,2
3989,0.64,0.89,0.0,0.5758,1
3990,0.62,0.88,0.1642,0.5606,3
3991,0.62,0.83,0.1343,0.5758,3
3992,0.6,0.78,0.1343,0.5758,26
3993,0.56,0.88,0.194,0.5303,46
3994,0.56,0.83,0.194,0.5303,221
3995,0.6,0.78,0.2537,0.5758,219
3996,0.6,0.78,0.2537,0.5758,91
3997,0.6,0.78,0.1045,0.5758,94
3998,0.62,0.69,0.1045,0.6061,162
3999,0.64,0.65,0.1045,0.6061,179
4000,0.66,0.61,0.1045,0.6212,175
4001,0.66,0.61,0.1343,0.6212,205
4002,0.7,0.58,0.1642,0.6515,299
4003,0.7,0.54,0.0,0.6515,565
4004,0.7,0.61,0.2537,0.6515,538
4005,0.66,0.65,0.2239,0.6212,431
4006,0.66,0.69,0.2239,0.6212,316
4007,0.64,0.73,0.1642,0.6061,206
4008,0.64,0.73,0.2239,0.6061,130
4009,0.62,0.78,0.2537,0.5909,60
4010,0.62,0.78,0.1642,0.5909,33
4011,0.62,0.78,0.1642,0.5909,14
4012,0.62,0.83,0.1642,0.5758,6
4013,0.62,0.83,0.1642,0.5758,2
4014,0.6,0.88,0.1045,0.5455,9
4015,0.6,0.88,0.1343,0.5455,25
4016,0.6,0.88,0.1343,0.5455,115
4017,0.6,0.94,0.0,0.5152,309
4018,0.62,0.88,0.1045,0.5606,401
4019,0.62,0.88,0.2537,0.5606,275
4020,0.64,0.83,0.194,0.5758,161
4021,0.66,0.83,0.1642,0.6061,171
4022,0.7,0.74,0.1642,0.6667,189
4023,0.74,0.66,0.1642,0.697,207
4024,0.76,0.62,0.2239,0.7121,152
4025,0.78,0.59,0.2537,0.7424,170
4026,0.8,0.59,0.2239,0.7727,335
4027,0.78,0.66,0.2239,0.7576,572
4028,0.76,0.7,0.2537,0.7273,536
4029,0.74,0.74,0.2239,0.7121,425
4030,0.74,0.7,0.2239,0.697,326
4031,0.72,0.74,0.194,0.697,229
4032,0.7,0.79,0.1045,0.6667,109
4033,0.7,0.74,0.1045,0.6667,64
4034,0.66,0.78,0.194,0.6061,33
4035,0.66,0.78,0.1343,0.6061,21
4036,0.66,0.78,0.0,0.6061,7
4037,0.66,0.78,0.1343,0.6061,7
4038,0.64,0.83,0.0,0.5758,11
4039,0.64,0.89,0.0,0.5758,23
4040,0.66,0.83,0.0,0.6061,122
4041,0.7,0.79,0.0,0.6667,311
4042,0.72,0.74,0.1045,0.697,423
4043,0.72,0.79,0.1642,0.697,219
4044,0.74,0.7,0.2537,0.697,135
4045,0.74,0.7,0.1642,0.697,145
4046,0.8,0.59,0.2239,0.7727,188
4047,0.82,0.56,0.2537,0.7879,147
4048,0.82,0.52,0.2836,0.7727,145
4049,0.82,0.56,0.2836,0.7879,146
4050,0.82,0.59,0.3284,0.803,258
4051,0.8,0.55,0.3881,0.7576,529
4052,0.8,0.59,0.2537,0.7727,513
4053,0.8,0.52,0.2537,0.7424,342
4054,0.74,0.74,0.1343,0.7121,282
4055,0.74,0.79,0.1642,0.7121,247
4056,0.72,0.79,0.194,0.697,148
4057,0.72,0.79,0.2239,0.697,105
4058,0.72,0.79,0.2239,0.697,49
4059,0.72,0.74,0.2239,0.697,31
4060,0.72,0.74,0.2239,0.697,4
4061,0.72,0.74,0.1642,0.697,5
4062,0.7,0.79,0.1343,0.6667,7
4063,0.72,0.74,0.1642,0.697,24
4064,0.72,0.74,0.1642,0.697,100
4065,0.72,0.74,0.1343,0.697,327
4066,0.74,0.7,0.194,0.697,432
4067,0.74,0.7,0.1343,0.697,227
4068,0.76,0.66,0.1343,0.7273,127
4069,0.76,0.66,0.2537,0.7273,136
4070,0.76,0.66,0.2836,0.7273,160
4071,0.76,0.62,0.2836,0.7121,186
4072,0.76,0.66,0.2985,0.7273,149
4073,0.76,0.52,0.3582,0.697,189
4074,0.74,0.62,0.2985,0.6818,275
4075,0.72,0.7,0.3582,0.6818,569
4076,0.72,0.7,0.4179,0.6818,540
4077,0.72,0.7,0.3582,0.6818,400
4078,0.7,0.74,0.2239,0.6667,352
4079,0.7,0.74,0.194,0.6667,234
4080,0.7,0.74,0.2239,0.6667,162
4081,0.7,0.74,0.2836,0.6667,105
4082,0.68,0.79,0.194,0.6364,63
4083,0.66,0.83,0.3284,0.6061,28
4084,0.66,0.83,0.3284,0.6061,14
4085,0.66,0.83,0.1642,0.6061,5
4086,0.66,0.83,0.0896,0.6061,9
4087,0.64,0.89,0.0896,0.5758,20
4088,0.66,0.83,0.1343,0.6061,91
4089,0.66,0.83,0.2239,0.6061,268
4090,0.7,0.74,0.2239,0.6667,466
4091,0.74,0.62,0.1343,0.6818,231
4092,0.8,0.43,0.2836,0.7273,145
4093,0.8,0.38,0.3284,0.7121,203
4094,0.8,0.41,0.2836,0.7121,201
4095,0.8,0.36,0.2239,0.7121,221
4096,0.78,0.43,0.2836,0.697,229
4097,0.82,0.34,0.3881,0.7273,216
4098,0.8,0.33,0.4179,0.697,327
4099,0.76,0.37,0.2537,0.6667,557
4100,0.76,0.37,0.2985,0.6667,452
4101,0.74,0.4,0.2239,0.6515,385
4102,0.72,0.45,0.1642,0.6515,288
4103,0.7,0.48,0.1343,0.6515,233
4104,0.7,0.48,0.0,0.6515,167
4105,0.68,0.51,0.1343,0.6364,172
4106,0.68,0.47,0.1642,0.6364,116
4107,0.66,0.5,0.1642,0.6212,95
4108,0.66,0.5,0.194,0.6212,59
4109,0.64,0.57,0.194,0.6212,39
4110,0.64,0.57,0.194,0.6212,11
4111,0.62,0.61,0.1343,0.6061,14
4112,0.64,0.57,0.2239,0.6212,29
4113,0.64,0.57,0.2836,0.6212,42
4114,0.7,0.48,0.2537,0.6515,112
4115,0.72,0.45,0.2537,0.6515,186
4116,0.72,0.45,0.194,0.6515,302
4117,0.74,0.42,0.0,0.6667,331
4118,0.74,0.4,0.2836,0.6515,392
4119,0.74,0.4,0.2836,0.6515,371
4120,0.74,0.45,0.2985,0.6667,383
4121,0.74,0.45,0.0,0.6667,392
4122,0.76,0.43,0.2985,0.6818,410
4123,0.74,0.42,0.2239,0.6667,399
4124,0.72,0.45,0.2537,0.6515,307
4125,0.72,0.48,0.2836,0.6667,375
4126,0.7,0.48,0.194,0.6515,269
4127,0.68,0.51,0.1642,0.6364,202
4128,0.68,0.47,0.194,0.6364,187
4129,0.66,0.5,0.2985,0.6212,179
4130,0.64,0.53,0.0,0.6212,115
4131,0.64,0.53,0.1045,0.6212,90
4132,0.62,0.57,0.1045,0.6212,87
4133,0.6,0.64,0.1045,0.6061,34
4134,0.6,0.64,0.0896,0.6061,11
4135,0.6,0.64,0.0,0.6061,12
4136,0.6,0.64,0.0,0.6061,20
4137,0.62,0.61,0.0,0.6061,51
4138,0.64,0.61,0.194,0.6212,107
4139,0.66,0.54,0.0896,0.6212,206
4140,0.72,0.48,0.1045,0.6667,332
4141,0.72,0.45,0.1343,0.6515,346
4142,0.74,0.4,0.1642,0.6515,443
4143,0.74,0.4,0.0,0.6515,442
4144,0.74,0.4,0.1343,0.6515,443
4145,0.74,0.4,0.0,0.6515,403
4146,0.74,0.42,0.194,0.6667,455
4147,0.72,0.42,0.1642,0.6515,421
4148,0.72,0.45,0.2537,0.6515,382
4149,0.72,0.48,0.1343,0.6667,317
4150,0.7,0.48,0.1045,0.6515,213
4151,0.7,0.54,0.1045,0.6515,183
4152,0.7,0.51,0.0,0.6515,114
4153,0.7,0.54,0.0896,0.6515,78
4154,0.64,0.73,0.2836,0.6061,32
4155,0.62,0.78,0.1343,0.5909,15
4156,0.62,0.78,0.1343,0.5909,6
4157,0.62,0.78,0.1343,0.5909,2
4158,0.6,0.83,0.1642,0.5606,9
4159,0.62,0.83,0.1642,0.5758,22
4160,0.62,0.78,0.1642,0.5909,94
4161,0.64,0.73,0.2239,0.6061,261
4162,0.66,0.74,0.194,0.6212,447
4163,0.72,0.54,0.0,0.6667,187
4164,0.72,0.54,0.1343,0.6667,150
4165,0.7,0.58,0.0,0.6515,150
4166,0.72,0.54,0.0,0.6667,170
4167,0.72,0.58,0.2239,0.6667,164
4168,0.72,0.58,0.0896,0.6667,158
4169,0.74,0.55,0.0,0.6818,202
4170,0.74,0.55,0.1045,0.6818,275
4171,0.74,0.55,0.1343,0.6818,604
4172,0.74,0.51,0.0,0.6667,591
4173,0.72,0.62,0.194,0.6818,396
4174,0.7,0.65,0.1045,0.6515,305
4175,0.7,0.65,0.0,0.6515,242
4176,0.68,0.69,0.0,0.6364,145
4177,0.68,0.69,0.0,0.6364,81
4178,0.66,0.78,0.1343,0.6061,30
4179,0.66,0.74,0.0,0.6212,13
4180,0.66,0.74,0.0,0.6212,11
4181,0.66,0.74,0.0,0.6212,2
4182,0.66,0.74,0.0,0.6212,8
4183,0.66,0.78,0.0,0.6061,21
4184,0.66,0.83,0.1642,0.6061,124
4185,0.68,0.83,0.194,0.6364,347
4186,0.7,0.79,0.1642,0.6667,456
4187,0.74,0.7,0.0,0.697,246
4188,0.8,0.49,0.1642,0.7424,157
4189,0.82,0.46,0.0,0.7576,167
4190,0.84,0.47,0.2239,0.7727,202
4191,0.84,0.44,0.0,0.7576,189
4192,0.86,0.44,0.2239,0.7879,160
4193,0.86,0.41,0.0,0.7879,166
4194,0.86,0.47,0.2836,0.803,261
4195,0.82,0.56,0.2836,0.7879,579
4196,0.8,0.55,0.2985,0.7576,504
4197,0.74,0.58,0.4627,0.6818,299
4198,0.74,0.62,0.0,0.6818,296
4199,0.74,0.66,0.2836,0.697,195
4200,0.7,0.7,0.2985,0.6515,134
4201,0.7,0.7,0.2836,0.6515,81
4202,0.68,0.79,0.2836,0.6364,36
4203,0.68,0.79,0.2985,0.6364,28
4204,0.66,0.83,0.2239,0.6061,16
4205,0.66,0.83,0.1045,0.6061,5
4206,0.66,0.83,0.1045,0.6061,5
4207,0.64,0.83,0.194,0.5758,22
4208,0.66,0.69,0.2985,0.6212,116
4209,0.7,0.54,0.2239,0.6515,336
4210,0.7,0.48,0.2836,0.6515,540
4211,0.72,0.45,0.3881,0.6515,221
4212,0.74,0.42,0.2836,0.6667,126
4213,0.76,0.35,0.2239,0.6667,170
4214,0.76,0.35,0.2537,0.6667,243
4215,0.8,0.31,0.3284,0.697,231
4216,0.8,0.31,0.194,0.697,188
4217,0.82,0.3,0.1642,0.7121,189
4218,0.82,0.3,0.4179,0.7121,328
4219,0.82,0.26,0.4179,0.7121,570
4220,0.8,0.29,0.2985,0.697,588
4221,0.76,0.35,0.3881,0.6667,401
4222,0.74,0.37,0.2985,0.6515,333
4223,0.72,0.39,0.2239,0.6515,221
4224,0.7,0.42,0.194,0.6364,183
4225,0.68,0.47,0.194,0.6364,129
4226,0.66,0.5,0.1642,0.6212,54
4227,0.64,0.53,0.1343,0.6212,32
4228,0.62,0.57,0.1343,0.6212,8
4229,0.6,0.6,0.1642,0.6061,9
4230,0.58,0.64,0.1343,0.5455,6
4231,0.58,0.64,0.2537,0.5455,25
4232,0.6,0.64,0.2537,0.6061,123
4233,0.62,0.61,0.2239,0.6061,320
4234,0.68,0.47,0.2239,0.6364,555
4235,0.7,0.42,0.2239,0.6364,260
4236,0.72,0.42,0.194,0.6515,132
4237,0.74,0.37,0.1343,0.6515,169
4238,0.76,0.35,0.1642,0.6667,233
4239,0.76,0.33,0.194,0.6667,232
4240,0.78,0.31,0.194,0.6818,163
4241,0.78,0.25,0.2537,0.6667,240
4242,0.8,0.26,0.1343,0.697,323
4243,0.78,0.27,0.3582,0.6818,594
4244,0.76,0.29,0.2537,0.6667,586
4245,0.74,0.33,0.194,0.6515,455
4246,0.74,0.33,0.194,0.6515,340
4247,0.72,0.37,0.1045,0.6515,323
4248,0.7,0.42,0.1642,0.6364,207
4249,0.66,0.5,0.0,0.6212,126
4250,0.66,0.5,0.0,0.6212,68
4251,0.66,0.5,0.0,0.6212,31
4252,0.62,0.69,0.0,0.6061,13
4253,0.64,0.53,0.0,0.6212,11
4254,0.62,0.57,0.0,0.6212,6
4255,0.6,0.64,0.1343,0.6061,30
4256,0.62,0.61,0.1343,0.6061,108
4257,0.66,0.54,0.1045,0.6212,243
4258,0.7,0.42,0.1642,0.6364,492
4259,0.74,0.35,0.1642,0.6515,260
4260,0.76,0.33,0.1642,0.6667,170
4261,0.8,0.26,0.0,0.697,214
4262,0.8,0.26,0.0,0.697,263
4263,0.8,0.24,0.0,0.6818,292
4264,0.82,0.23,0.194,0.697,303
4265,0.82,0.21,0.2537,0.697,381
4266,0.82,0.17,0.0,0.697,427
4267,0.82,0.21,0.194,0.697,461
4268,0.8,0.24,0.2537,0.6818,422
4269,0.78,0.25,0.194,0.6667,318
4270,0.72,0.42,0.2239,0.6515,269
4271,0.7,0.45,0.194,0.6364,218
4272,0.7,0.42,0.0,0.6364,222
4273,0.68,0.47,0.0896,0.6364,140
4274,0.68,0.47,0.0896,0.6364,115
4275,0.66,0.54,0.0,0.6212,78
4276,0.64,0.53,0.0,0.6212,52
4277,0.64,0.53,0.0,0.6212,26
4278,0.62,0.61,0.0,0.6061,11
4279,0.58,0.73,0.1045,0.5455,14
4280,0.62,0.69,0.1045,0.6061,32
4281,0.64,0.65,0.0,0.6061,45
4282,0.68,0.57,0.0,0.6364,132
4283,0.74,0.51,0.0896,0.6667,179
4284,0.8,0.36,0.0,0.7121,271
4285,0.8,0.36,0.0896,0.7121,357
4286,0.82,0.3,0.1343,0.7121,374
4287,0.82,0.3,0.1045,0.7121,404
4288,0.84,0.2,0.0,0.7121,392
4289,0.86,0.19,0.1642,0.7273,331
4290,0.88,0.22,0.2239,0.7424,398
4291,0.84,0.3,0.2239,0.7273,349
4292,0.82,0.3,0.2836,0.7121,383
4293,0.8,0.33,0.2239,0.697,305
4294,0.76,0.45,0.2836,0.6818,284
4295,0.74,0.48,0.194,0.6667,232
4296,0.72,0.51,0.1642,0.6667,201
4297,0.72,0.54,0.2836,0.6667,154
4298,0.7,0.58,0.2239,0.6515,144
4299,0.7,0.61,0.1642,0.6515,78
4300,0.7,0.58,0.194,0.6515,69
4301,0.68,0.65,0.0896,0.6364,33
4302,0.68,0.65,0.0896,0.6364,5
4303,0.62,0.83,0.194,0.5758,1
4304,0.62,0.94,0.0896,0.5455,3
4305,0.64,0.89,0.194,0.5758,25
4306,0.68,0.79,0.2239,0.6364,92
4307,0.7,0.74,0.2537,0.6667,181
4308,0.74,0.66,0.1642,0.697,264
4309,0.76,0.62,0.1045,0.7121,390
4310,0.8,0.55,0.1045,0.7576,404
4311,0.8,0.59,0.2239,0.7727,421
4312,0.82,0.56,0.2537,0.7879,375
4313,0.84,0.53,0.2985,0.803,376
4314,0.84,0.53,0.2985,0.803,414
4315,0.8,0.49,0.8507,0.7424,358
4316,0.8,0.49,0.8507,0.7424,181
4317,0.66,0.83,0.194,0.6061,183
4318,0.66,0.83,0.0,0.6061,176
4319,0.66,0.83,0.1642,0.6061,167
4320,0.66,0.78,0.1045,0.6061,162
4321,0.64,0.83,0.1642,0.5758,147
4322,0.64,0.83,0.1343,0.5758,140
4323,0.64,0.83,0.0896,0.5758,119
4324,0.64,0.83,0.0,0.5758,63
4325,0.64,0.78,0.0,0.5909,26
4326,0.66,0.78,0.0896,0.6061,12
4327,0.64,0.83,0.1343,0.5758,4
4328,0.64,0.89,0.1642,0.5758,16
4329,0.66,0.83,0.1343,0.6061,36
4330,0.7,0.74,0.1045,0.6667,86
4331,0.72,0.66,0.0896,0.6818,238
4332,0.76,0.55,0.0896,0.697,280
4333,0.76,0.55,0.0896,0.697,349
4334,0.78,0.52,0.0,0.7121,447
4335,0.78,0.49,0.0,0.7121,423
4336,0.8,0.46,0.0,0.7273,408
4337,0.82,0.43,0.0896,0.7424,408
4338,0.82,0.41,0.0,0.7424,452
4339,0.8,0.46,0.0,0.7273,436
4340,0.8,0.46,0.1343,0.7273,418
4341,0.78,0.49,0.1642,0.7121,375
4342,0.76,0.55,0.1045,0.697,386
4343,0.74,0.62,0.1045,0.6818,457
4344,0.74,0.62,0.1343,0.6818,326
4345,0.72,0.7,0.1045,0.6818,138
4346,0.7,0.65,0.1642,0.6515,55
4347,0.7,0.65,0.1045,0.6515,39
4348,0.66,0.74,0.0896,0.6212,13
4349,0.66,0.74,0.2239,0.6212,8
4350,0.66,0.69,0.1642,0.6212,5
4351,0.66,0.69,0.0,0.6212,20
4352,0.66,0.74,0.0896,0.6212,94
4353,0.7,0.65,0.0896,0.6515,270
4354,0.72,0.62,0.1343,0.6818,432
4355,0.74,0.58,0.1343,0.6818,227
4356,0.76,0.52,0.1045,0.697,139
4357,0.78,0.46,0.1045,0.697,172
4358,0.8,0.43,0.1045,0.7273,201
4359,0.82,0.43,0.1045,0.7424,203
4360,0.8,0.49,0.1642,0.7424,178
4361,0.82,0.43,0.0,0.7424,162
4362,0.82,0.46,0.1045,0.7576,281
4363,0.82,0.46,0.1045,0.7576,545
4364,0.8,0.55,0.1642,0.7576,496
4365,0.8,0.59,0.1343,0.7727,368
4366,0.76,0.66,0.1045,0.7273,284
4367,0.78,0.62,0.2537,0.7424,245
4368,0.76,0.66,0.2239,0.7273,155
4369,0.74,0.66,0.1642,0.697,73
4370,0.72,0.74,0.194,0.697,37
4371,0.7,0.74,0.1343,0.6667,15
4372,0.7,0.79,0.0896,0.6667,5
4373,0.7,0.79,0.0,0.6667,6
4374,0.68,0.83,0.0896,0.6364,6
4375,0.68,0.83,0.0896,0.6364,35
4376,0.7,0.79,0.0896,0.6667,121
4377,0.72,0.79,0.0,0.697,312
4378,0.72,0.74,0.1045,0.697,428
4379,0.7,0.79,0.194,0.6667,189
4380,0.7,0.79,0.0896,0.6667,43
4381,0.72,0.74,0.0,0.697,127
4382,0.74,0.66,0.0896,0.697,152
4383,0.74,0.7,0.1045,0.697,140
4384,0.76,0.66,0.2836,0.7273,163
4385,0.76,0.7,0.2836,0.7273,185
4386,0.76,0.7,0.2537,0.7273,275
4387,0.78,0.59,0.2239,0.7424,596
4388,0.76,0.62,0.194,0.7121,563
4389,0.74,0.7,0.2239,0.697,394
4390,0.72,0.74,0.2537,0.697,312
4391,0.7,0.79,0.194,0.6667,241
4392,0.7,0.79,0.194,0.6667,186
4393,0.68,0.83,0.2239,0.6364,98
4394,0.66,0.89,0.1343,0.5909,35
4395,0.66,0.89,0.194,0.5909,16
4396,0.66,0.89,0.194,0.5909,8
4397,0.64,0.94,0.1045,0.5606,4
4398,0.64,0.89,0.1045,0.5758,4
4399,0.64,0.89,0.1045,0.5758,32
4400,0.64,0.89,0.1343,0.5758,118
4401,0.66,0.89,0.1045,0.5909,292
4402,0.7,0.79,0.194,0.6667,443
4403,0.74,0.7,0.1642,0.697,179
4404,0.78,0.62,0.0,0.7424,101
4405,0.82,0.52,0.1343,0.7727,142
4406,0.84,0.41,0.0,0.7727,171
4407,0.86,0.41,0.0,0.7879,155
4408,0.86,0.41,0.2537,0.7879,160
4409,0.86,0.41,0.2537,0.7879,166
4410,0.86,0.39,0.2239,0.7727,265
4411,0.86,0.36,0.2537,0.7576,569
4412,0.84,0.44,0.2985,0.7576,562
4413,0.82,0.52,0.2836,0.7727,365
4414,0.76,0.58,0.3582,0.7121,285
4415,0.74,0.62,0.1642,0.6818,209
4416,0.74,0.62,0.1642,0.6818,182
4417,0.72,0.66,0.0,0.6818,129
4418,0.74,0.66,0.1045,0.697,47
4419,0.72,0.79,0.0,0.697,34
4420,0.7,0.74,0.1642,0.6667,22
4421,0.68,0.79,0.1045,0.6364,6
4422,0.7,0.79,0.2537,0.6667,11
4423,0.68,0.79,0.2537,0.6364,27
4424,0.7,0.74,0.1045,0.6667,102
4425,0.7,0.79,0.194,0.6667,332
4426,0.72,0.74,0.2537,0.697,457
4427,0.76,0.7,0.2985,0.7273,241
4428,0.74,0.7,0.3582,0.697,138
4429,0.74,0.74,0.2537,0.7121,165
4430,0.76,0.7,0.2836,0.7273,213
4431,0.78,0.66,0.2836,0.7576,229
4432,0.8,0.63,0.3582,0.7879,216
4433,0.8,0.63,0.3582,0.7879,141
4434,0.68,0.83,0.4478,0.6364,132
4435,0.66,0.89,0.4478,0.5909,167
4436,0.66,0.83,0.0896,0.6061,316
4437,0.66,0.83,0.0896,0.6061,270
4438,0.66,0.83,0.1642,0.6061,250
4439,0.66,0.83,0.2537,0.6061,204
4440,0.66,0.78,0.194,0.6061,169
4441,0.66,0.78,0.0896,0.6061,151
4442,0.66,0.83,0.1343,0.6061,121
4443,0.64,0.89,0.1045,0.5758,53
4444,0.64,0.89,0.1642,0.5758,55
4445,0.64,0.89,0.1343,0.5758,30
